t;Extract;Cext;Cag;Rt;A_405;A_450;A_492;A_630
10;A;0.7;1;80;0.514;0.564;0.568;0.568
10;A;0.7;2;80;0.554;0.645;0.652;0.652
10;A;0.7;3;80;0.795;0.933;0.943;0.943
10;A;0.7;4;80;1.138;1.249;1.254;1.254
10;A;0.7;5;80;1.122;1.221;1.226;1.226
10;A;0.7;1;80;0.351;0.39;0.395;0.395
10;A;0.7;2;80;0.55;0.638;0.646;0.646
10;A;0.7;3;80;0.672;0.79;0.794;0.794
10;A;0.7;4;80;1.106;1.219;1.225;1.225
10;A;0.7;5;80;1.146;1.242;1.248;1.248
10;A;0.7;1;40;0.286;0.317;0.313;0.315
10;A;0.7;2;40;0.39;0.449;0.455;0.451
10;A;0.7;3;40;0.584;0.666;0.657;0.657
10;A;0.7;4;40;0.736;0.821;0.821;0.824
10;A;0.7;5;40;0.639;0.733;0.736;0.739
10;A;0.7;1;40;0.218;0.245;0.246;0.251
10;A;0.7;2;40;0.32;0.375;0.383;0.388
10;A;0.7;3;40;0.525;0.612;0.62;0.619
10;A;0.7;4;40;0.66;0.758;0.763;0.764
10;A;0.7;5;40;0.566;0.647;0.65;0.667
10;A;0.7;1;100;0.394;0.456;0.46;0.461
10;A;0.7;2;100;0.574;0.683;0.693;0.697
10;A;0.7;3;100;0.806;0.971;0.982;0.981
10;A;0.7;4;100;1.153;1.313;1.317;1.317
10;A;0.7;5;100;1.171;1.28;1.279;1.284
10;A;0.7;1;100;0.382;0.446;0.442;0.45
10;A;0.7;2;100;0.575;0.694;0.693;0.69
10;A;0.7;3;100;0.376;0.895;0.896;0.896
10;A;0.7;4;100;1.14;1.306;1.308;1.309
10;A;0.7;5;100;1.252;1.383;1.385;1.388
20;A;0.7;1;10;0.265;0.259;0.266;0.27
20;A;0.7;2;10;0.308;0.275;0.285;0.304
20;A;0.7;3;10;0.311;0.269;0.279;0.299
20;A;0.7;4;10;0.347;0.283;0.297;0.33
20;A;0.7;5;10;0.343;0.292;0.304;0.33
20;A;0.7;1;10;0.231;0.185;0.182;0.206
20;A;0.7;2;10;0.212;0.172;0.165;0.192
20;A;0.7;3;10;0.288;0.233;0.232;0.262
20;A;0.7;4;10;0.286;0.208;0.207;0.247
20;A;0.7;5;10;0.283;0.221;0.216;0.246
20;A;0.7;1;80;0.561;0.446;0.455;0.516
20;A;0.7;2;80;0.649;0.42;0.434;0.546
20;A;0.7;3;80;0.942;0.563;0.581;0.771
20;A;0.7;4;80;1.25;0.827;0.838;1.05
20;A;0.7;5;80;1.224;0.843;0.848;1.043
20;A;0.7;1;80;0.397;0.291;0.281;0.338
20;A;0.7;2;80;0.648;0.393;0.393;0.522
20;A;0.7;3;80;0.805;0.452;0.449;0.627
20;A;0.7;4;80;1.215;0.761;0.755;0.982
20;A;0.7;5;80;1.24;0.832;0.829;1.046
20;A;0.7;1;40;0.263;0.276;0.266;0.296
20;A;0.7;2;40;0.312;0.32;0.313;0.388
20;A;0.7;3;40;0.438;0.444;0.44;0.557
20;A;0.7;4;40;0.575;0.577;0.577;0.719
20;A;0.7;5;40;0.491;0.495;0.493;0.267
20;A;0.7;1;40;0.197;0.196;0.2;0.226
20;A;0.7;2;40;0.251;0.247;0.254;0.322
20;A;0.7;3;40;0.376;0.374;0.375;0.496
20;A;0.7;4;40;0.484;0.486;0.494;0.644
20;A;0.7;5;40;0.411;0.405;0.406;0.537
20;A;0.7;1;100;0.321;0.35;0.327;0.406
20;A;0.7;2;100;0.425;0.431;0.414;0.556
20;A;0.7;3;100;0.584;0.6;0.587;0.788
20;A;0.7;4;100;0.809;0.817;0.81;1.079
20;A;0.7;5;100;0.86;0.869;0.868;1.509
20;A;0.7;1;100;0.284;0.829;0.29;0.363
20;A;0.7;2;100;0.393;0.387;0.391;0.533
20;A;0.7;3;100;0.466;0.469;0.472;0.678
20;A;0.7;4;100;0.759;0.757;0.764;1.049
20;A;0.7;5;100;0.833;0.827;0.827;1.081
30;A;0.7;1;10;0.259;0.266;0.257;0.27
30;A;0.7;2;10;0.275;0.285;0.277;0.304
30;A;0.7;3;10;0.269;0.279;0.273;0.299
30;A;0.7;4;10;0.283;0.297;0.286;0.33
30;A;0.7;5;10;0.292;0.304;0.296;0.33
30;A;0.7;1;10;0.185;0.182;0.185;0.206
30;A;0.7;2;10;0.172;0.165;0.172;0.196
30;A;0.7;3;10;0.239;0.232;0.236;0.262
30;A;0.7;4;10;0.208;0.207;0.21;0.247
30;A;0.7;5;10;0.221;0.216;0.22;0.246
30;A;0.7;1;80;0.446;0.455;0.449;0.516
30;A;0.7;2;80;0.42;0.434;0.424;0.546
30;A;0.7;3;80;0.563;0.581;0.573;0.771
30;A;0.7;4;80;0.827;0.838;0.831;1.05
30;A;0.7;5;80;0.843;0.848;0.841;1.043
30;A;0.7;1;80;0.221;0.281;0.285;0.338
30;A;0.7;2;80;0.393;0.393;0.398;0.522
30;A;0.7;3;80;0.452;0.449;0.457;0.627
30;A;0.7;4;80;0.761;0.755;0.758;0.982
30;A;0.7;5;80;0.832;0.829;0.827;1.046
30;A;0.7;1;40;0.263;0.276;0.266;0.296
30;A;0.7;2;40;0.312;0.32;0.313;0.388
30;A;0.7;3;40;0.438;0.444;0.44;0.557
30;A;0.7;4;40;0.575;0.577;0.577;0.719
30;A;0.7;5;40;0.491;0.495;0.493;0.627
30;A;0.7;1;40;0.197;0.196;0.2;0.226
30;A;0.7;2;40;0.251;0.247;0.254;0.322
30;A;0.7;3;40;0.376;0.374;0.375;0.496
30;A;0.7;4;40;0.484;0.486;0.494;0.644
30;A;0.7;5;40;0.411;0.405;0.406;0.537
30;A;0.7;1;100;0.321;0.35;0.327;0.406
30;A;0.7;2;100;0.425;0.431;0.414;0.556
30;A;0.7;3;100;0.584;0.6;0.587;0.788
30;A;0.7;4;100;0.809;0.817;0.81;1.079
30;A;0.7;5;100;0.86;0.869;0.868;1.059
30;A;0.7;1;100;0.284;0.289;0.29;0.363
30;A;0.7;2;100;0.393;0.387;0.391;0.533
30;A;0.7;3;100;0.466;0.469;0.472;0.678
30;A;0.7;4;100;0.759;0.757;0.764;1.049
30;A;0.7;5;100;0.833;0.827;0.827;1.081
40;A;0.7;1;10;;0.455;0.457;0.447
40;A;0.7;2;10;;0.442;0.49;0.451
40;A;0.7;3;10;;0.871;0.874;0.876
40;A;0.7;4;10;;0.664;0.661;0.661
40;A;0.7;5;10;;0.608;0.616;0.621
40;A;0.7;1;10;0.423;0.399;0.398;0.395
40;A;0.7;2;10;0.61;0.608;0.622;0.609
40;A;0.7;3;10;0.866;0.86;0.866;0.879
40;A;0.7;4;10;0.599;0.596;0.595;0.596
