Wavelength;4_21_2023;4_21_2023;5_12_2023;5_12_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;4_21_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023;5_12_2023
215.5;-0.319;-0.319;-0.29;-0.294;8.401;5.154;4.074;4.032;1.693;2.527;122.781;133.686;11.693;11.595;148.529;86.73;86.033;332.431;142.474;329.13;40.173;38.13;28.323;13.123;13.124;13.186
216;-0.315;-0.315;-0.331;-0.287;8.784;5.724;4.655;4.379;2.334;2.951;120.649;132.072;11.639;11.478;146.575;84.933;84.518;326.156;142.42;323.571;39.347;37.426;27.916;12.817;12.781;12.883
216.5;-0.306;-0.306;-0.294;-0.284;9.228;6.211;5.144;4.69;2.811;3.159;118.663;130.417;11.514;11.514;144.115;83.527;83.163;319.829;142.706;317.326;38.706;36.825;27.694;12.607;12.486;12.646
217;-0.302;-0.302;-0.345;-0.276;9.655;6.766;5.674;5.045;3.403;3.502;116.776;128.63;11.389;11.525;142.279;82.365;81.77;315.865;142.11;311.479;37.924;36.143;27.112;12.287;12.198;12.385
217.5;-0.307;-0.307;-0.367;-0.275;10.081;7.347;6.247;5.553;3.903;3.984;115.257;126.703;11.102;11.477;140.209;80.995;80.577;311.28;141.634;305.92;37.282;35.364;26.498;12.019;11.965;12.162
218;-0.305;-0.305;-0.321;-0.272;10.452;7.87;6.763;6.113;4.418;4.335;113.598;124.665;10.872;11.449;138.297;79.764;79.468;306.449;141.753;300.565;36.647;34.616;25.978;11.683;11.779;11.898
218.5;-0.312;-0.312;0.132;-0.271;10.936;8.347;7.227;6.555;4.939;4.614;112.406;123.041;10.703;11.222;136.36;78.756;78.329;301.401;141.729;295.759;36.17;34.206;25.469;11.528;11.666;11.75
219;-0.316;-0.316;0.661;-0.276;11.467;8.789;7.762;7.289;5.345;5.085;111.016;121.1;10.482;10.99;134.504;77.755;77.204;296.296;142.091;291.349;35.68;33.843;25.263;11.43;11.552;11.652
219.5;-0.323;-0.323;1.283;-0.278;12.069;9.348;8.194;8.008;5.854;5.713;109.911;119.569;10.242;10.608;132.952;76.701;76.212;291.058;142.41;286.004;35.363;33.531;25.057;11.381;11.467;11.543
220;-0.325;-0.325;1.999;-0.27;12.695;9.956;8.823;8.536;6.565;6.442;108.681;118.393;10.081;10.325;131.492;75.666;75.302;285.91;142.877;281.591;34.833;33.316;24.794;11.133;11.321;11.354
220.5;-0.324;-0.324;2.595;-0.275;13.31;10.578;9.522;9.234;7.223;7.152;107.585;117.076;9.856;9.986;130.216;74.583;74.504;281.109;142.557;276.683;34.344;32.881;24.386;11.037;11.173;11.259
221;-0.32;-0.32;3.077;-0.271;13.817;11.284;10.22;9.884;7.871;7.758;106.419;116.053;9.695;9.833;129.028;73.668;73.732;276.379;142.589;272.035;33.624;32.479;24.158;10.929;11.084;11.153
221.5;-0.319;-0.319;3.59;-0.267;14.326;11.874;10.908;10.42;8.366;8.465;104.999;114.817;9.611;9.689;127.859;72.805;72.826;271.091;142.686;267.036;33.141;31.955;23.976;10.765;10.893;10.926
222;-0.314;-0.314;3.867;-0.271;14.766;12.528;11.529;10.953;9.012;9.1;103.795;113.541;9.393;9.501;127.005;72.014;71.895;266.196;142.126;262.583;32.622;31.371;23.6;10.558;10.652;10.721
222.5;-0.304;-0.304;3.88;-0.27;15.247;13.004;12.045;11.403;9.589;9.461;102.799;112.394;9.096;9.42;125.807;71.182;71.086;261.731;142.088;258.576;32.089;30.729;23.275;10.362;10.429;10.5
223;-0.295;-0.295;3.927;-0.241;15.628;13.467;12.5;11.814;10.13;9.984;101.792;111.357;8.996;9.406;124.668;70.425;70.205;256.071;142.119;253.778;31.718;30.351;23.073;10.193;10.27;10.316
223.5;-0.287;-0.287;4.276;-0.297;16.006;13.837;12.907;12.235;10.645;10.489;101.053;110.4;8.824;9.223;123.424;69.616;69.345;250.731;142.363;248.431;31.517;30.077;22.806;10.088;10.094;10.142
224;-0.279;-0.279;4.647;-0.366;16.434;14.295;13.356;12.79;11.248;11.021;100.263;109.281;8.749;9.102;122.249;68.877;68.672;245.551;142.011;243.521;31.203;29.716;22.522;10.004;9.93;10.021
224.5;-0.271;-0.271;5.094;-0.363;16.893;14.817;13.869;13.347;11.849;11.612;99.248;108.368;8.682;8.905;120.92;67.941;67.856;240.363;141.637;237.988;30.946;29.433;22.332;9.814;9.758;9.866
225;-0.267;-0.267;5.72;-0.134;17.42;15.395;14.439;13.935;12.487;12.227;98.299;107.294;8.591;8.764;119.741;67.094;67.026;235.087;141.166;232.45;30.595;29.152;21.979;9.607;9.556;9.707
225.5;-0.322;-0.26;6.341;0.123;18.031;16.055;15.106;14.611;13.2;12.935;97.28;105.956;8.414;8.602;118.514;66.209;66.269;229.816;140.625;226.965;30.278;28.738;21.621;9.427;9.394;9.545
